distCode,distName,officeCode,officeName,shopNo,month,year,noOfRcs,noOfTrans,riceAfsc,riceFsc,riceAap,wheat,sugar,rgdal,kerosene,totalAmount,salt,otherShopTransCnt
532,Adilabad,532026,Utnur,1926013,4,2018,153,153,315,3384,0,0,3,0,0,3739.5,0,0
532,Adilabad,532026,Utnur,1926014,4,2018,247,250,980,5022,0,0,3,0,0,6042.5,0,1
532,Adilabad,532026,Utnur,1926015,4,2018,376,376,4339,6306,0,0,124,0,0,12319,0,1
532,Adilabad,532026,Utnur,1926016,4,2018,342,342,2100,6204,0,0,0,0,0,8304,0,2
532,Adilabad,532026,Utnur,1926017,4,2018,416,471,1995,7992,0,0,55,0,0,10729.5,0,5
532,Adilabad,532026,Utnur,1926018,4,2018,265,294,1645,5250,0,0,30,0,0,7300,0,3
532,Adilabad,532026,Utnur,1926019,4,2018,285,327,1750,5466,0,0,42,0,0,7783,0,5
532,Adilabad,532026,Utnur,1926020,4,2018,94,107,560,1494,0,0,17,0,0,2283.5,0,13
532,Adilabad,532026,Utnur,1926021,4,2018,389,431,1610,8412,0,0,44,0,0,10616,0,5
532,Adilabad,532026,Utnur,1926022,4,2018,118,130,455,2478,0,0,12,0,0,3095,0,0
532,Adilabad,532026,Utnur,1926023,4,2018,605,669,2310,12456,0,0,64,0,0,15630,0,9
532,Adilabad,532026,Utnur,1926024,4,2018,451,453,2646,8770,0,0,76,0,0,12442,0,91
532,Adilabad,532026,Utnur,1926025,4,2018,439,439,3991,7164,0,0,116,0,0,12721,0,0
532,Adilabad,532026,Utnur,1926026,4,2018,563,564,7875,6762,0,0,225,0,0,17674.5,0,7
532,Adilabad,532026,Utnur,1926027,4,2018,256,257,1435,5178,0,0,41,0,0,7166.5,0,89
532,Adilabad,532026,Utnur,1926028,4,2018,101,101,70,2352,0,0,2,0,0,2449,0,101
532,Adilabad,532026,Utnur,1926029,4,2018,484,484,2800,9365,0,0,76,0,0,13191,0,4
532,Adilabad,532026,Utnur,1926030,4,2018,622,626,5180,10686,0,0,34,0,0,16325,0,15
532,Adilabad,532026,Utnur,1926031,4,2018,441,441,6965,6066,0,0,199,0,0,15717.5,0,7
532,Adilabad,532026,Utnur,1926032,4,2018,410,410,4586,6282,0,0,91,0,0,12096.5,0,2
532,Adilabad,532003,Adilabad,1981001,4,2018,663,664,35,15036,0,0,1,0,0,15084.5,0,95
532,Adilabad,532003,Adilabad,1981002,4,2018,601,602,35,14424,0,0,0,0,0,14459,0,218
532,Adilabad,532003,Adilabad,1981003,4,2018,461,461,105,9497,0,0,0,0,0,9602,0,58
532,Adilabad,532003,Adilabad,1981004,4,2018,505,505,70,9900,0,0,0,0,0,9970,0,49
532,Adilabad,532003,Adilabad,1981005,4,2018,304,304,140,5922,0,0,0,0,0,6062,0,24
532,Adilabad,532003,Adilabad,1981006,4,2018,556,565,140,12654,0,0,3,0,0,12834.5,0,117
532,Adilabad,532003,Adilabad,1981007,4,2018,537,537,0,11118,20,0,0,0,0,11118,0,18
532,Adilabad,532003,Adilabad,1981008,4,2018,613,616,70,14046,0,0,2,0,0,14143,0,86
532,Adilabad,532003,Adilabad,1981009,4,2018,465,468,35,10194,0,0,0,0,0,10229,0,280
532,Adilabad,532003,Adilabad,1981010,4,2018,539,539,35,12588,0,0,0,0,0,12623,0,147
532,Adilabad,532003,Adilabad,1981011,4,2018,172,172,70,4020,0,0,1,0,0,4103.5,0,88
532,Adilabad,532003,Adilabad,1981012,4,2018,419,420,105,9480,0,0,0,0,0,9585,0,60
532,Adilabad,532003,Adilabad,1981013,4,2018,272,272,140,5934,0,0,0,0,0,6074,0,37
532,Adilabad,532003,Adilabad,1981014,4,2018,547,547,525,11982,0,0,14,0,0,12696,0,55
532,Adilabad,532003,Adilabad,1981015,4,2018,710,711,105,16680,0,0,0,0,0,16785,0,325
532,Adilabad,532003,Adilabad,1981016,4,2018,394,395,105,8154,0,0,0,0,0,8259,0,31
532,Adilabad,532003,Adilabad,1981017,4,2018,443,448,1120,8844,10,0,31,0,0,10382.5,0,79
532,Adilabad,532003,Adilabad,1981018,4,2018,595,595,35,13040,0,0,0,0,0,13075,0,182
532,Adilabad,532003,Adilabad,1981019,4,2018,440,442,175,9432,0,0,0,0,0,9607,0,313
